file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,51,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,0
style.css,52,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,0
style.css,53,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,5
style.css,54,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,13
style.css,55,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,13
style.css,56,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,31
style.css,57,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,8
style.css,58,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,0
style.css,59,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,0
style.css,60,css,d0cd7225,Nancy Shen,2025-01-25,19:30:46,-08:00,2025-01-25T19:30:46-08:00,0,5
style.css,61,css,d0cd7225,Nancy Shen,2025-01-25,19:30:46,-08:00,2025-01-25T19:30:46-08:00,0,6
style.css,62,css,d0cd7225,Nancy Shen,2025-01-25,19:30:46,-08:00,2025-01-25T19:30:46-08:00,0,8
style.css,63,css,d0cd7225,Nancy Shen,2025-01-25,19:30:46,-08:00,2025-01-25T19:30:46-08:00,0,7
style.css,64,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,14
style.css,65,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,11
style.css,66,css,d0cd7225,Nancy Shen,2025-01-25,19:30:46,-08:00,2025-01-25T19:30:46-08:00,0,14
style.css,67,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,22
style.css,68,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,0
style.css,69,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,0
style.css,70,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,6
style.css,71,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,14
style.css,72,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,18
style.css,73,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,17
style.css,74,css,05c7022c,Nancy Shen,2025-01-18,20:27:02,-08:00,2025-01-18T20:27:02-08:00,0,13
